make_wall, id=0, a_x=8.280607223510742, a_y=-9.688860893249512, a_z=-1.5314079523086548, b_x=4.980607986450195, b_y=-6.588860988616943, b_z=-1.5314079523086548, height=3.84, thickness=0.0
make_wall, id=1, a_x=8.280607223510742, a_y=-9.688860893249512, a_z=-1.5314079523086548, b_x=14.580608367919922, b_y=-3.8888607025146484, b_z=-1.5314079523086548, height=3.84, thickness=0.0
make_wall, id=2, a_x=4.980607986450195, a_y=-6.588860988616943, a_z=-1.5314079523086548, b_x=5.230607986450195, b_y=-5.78886079788208, b_z=-1.5314079523086548, height=3.84, thickness=0.0
make_wall, id=3, a_x=5.230607986450195, a_y=-5.78886079788208, a_z=-1.5314079523086548, b_x=-4.119392395019531, b_y=2.011138916015625, b_z=-1.5314079523086548, height=3.84, thickness=0.0
make_wall, id=4, a_x=3.5806074142456055, a_y=-5.78886079788208, a_z=-1.5314079523086548, b_x=0.7306079864501953, b_y=-3.03886079788208, b_z=-1.5314079523086548, height=3.84, thickness=0.0
make_wall, id=5, a_x=3.5806074142456055, a_y=-5.78886079788208, a_z=-1.5314079523086548, b_x=6.930607795715332, b_y=-2.238861083984375, b_z=-1.5314079523086548, height=3.84, thickness=0.0
make_wall, id=6, a_x=0.7306079864501953, a_y=-3.03886079788208, a_z=-1.5314079523086548, b_x=-1.019392490386963, b_y=-1.3888607025146484, b_z=-1.5314079523086548, height=3.84, thickness=0.0
make_wall, id=7, a_x=13.930606842041016, a_y=-3.5888609886169434, a_z=-1.5314079523086548, b_x=16.780607223510742, b_y=-1.0888605117797852, b_z=-1.5314079523086548, height=3.84, thickness=0.0
make_wall, id=8, a_x=13.930606842041016, a_y=-3.5888609886169434, a_z=-1.5314079523086548, b_x=4.880607604980469, b_y=4.811139106750488, b_z=-1.5314079523086548, height=3.84, thickness=0.0
make_wall, id=9, a_x=-1.019392490386963, a_y=-1.3888607025146484, a_z=-1.5314079523086548, b_x=0.5306072235107422, b_y=0.511138916015625, b_z=-1.5314079523086548, height=3.84, thickness=0.0
make_wall, id=10, a_x=0.5306072235107422, a_y=0.511138916015625, a_z=-1.5314079523086548, b_x=-4.1693925857543945, b_y=4.211138725280762, b_z=-1.5314079523086548, height=3.84, thickness=0.0
make_wall, id=11, a_x=-4.9693922996521, a_y=1.6611394882202148, a_z=-1.5314079523086548, b_x=-4.1693925857543945, b_y=4.211138725280762, b_z=-1.5314079523086548, height=3.84, thickness=0.0
make_wall, id=12, a_x=-4.9693922996521, a_y=1.6611394882202148, a_z=-1.5314079523086548, b_x=-8.369392395019531, b_y=4.711138725280762, b_z=-1.5314079523086548, height=3.84, thickness=0.0
make_wall, id=13, a_x=-8.369392395019531, a_y=4.711138725280762, a_z=-1.5314079523086548, b_x=-1.9693922996520996, b_y=11.411139488220215, b_z=-1.5314079523086548, height=3.84, thickness=0.0
make_wall, id=14, a_x=4.880607604980469, a_y=4.811139106750488, a_z=-1.5314079523086548, b_x=8.980607986450195, b_y=8.011139869689941, b_z=-1.5314079523086548, height=3.84, thickness=0.0
make_wall, id=15, a_x=8.980607986450195, a_y=8.011139869689941, a_z=-1.5314079523086548, b_x=-0.569392204284668, b_y=14.261139869689941, b_z=-1.5314079523086548, height=3.84, thickness=0.0
make_wall, id=16, a_x=-0.569392204284668, a_y=14.261139869689941, a_z=-1.5314079523086548, b_x=0.6306076049804688, b_y=15.211138725280762, b_z=-1.5314079523086548, height=3.84, thickness=0.0
make_wall, id=17, a_x=0.6306076049804688, a_y=15.211138725280762, a_z=-1.5314079523086548, b_x=-1.7193922996520996, b_y=18.36113739013672, b_z=-1.5314079523086548, height=3.84, thickness=0.0
make_door, id=1000, wall0_id=14, wall1_id=14, position_x=7.430607795715332, position_y=7.511139869689941, position_z=-0.5314079523086548, width=1.72, height=1.92
make_door, id=1001, wall0_id=14, wall1_id=14, position_x=6.780607223510742, position_y=6.861138343811035, position_z=-0.5314079523086548, width=1.2000000000000002, height=1.92
make_door, id=1002, wall0_id=3, wall1_id=3, position_x=-3.769392490386963, position_y=1.4111394882202148, position_z=-0.4814079999923706, width=1.2000000000000002, height=2.04
make_window, id=2000, wall0_id=17, wall1_id=17, position_x=-1.319392204284668, position_y=16.41114044189453, position_z=0.1185920238494873, width=1.2400000000000002, height=1.36
make_window, id=2001, wall0_id=15, wall1_id=15, position_x=6.780607223510742, position_y=8.061139106750488, position_z=0.16859197616577148, width=1.32, height=2.8800000000000003
make_window, id=2002, wall0_id=3, wall1_id=3, position_x=2.280607223510742, position_y=-0.738861083984375, position_z=0.3185919523239136, width=1.9600000000000002, height=2.4800000000000004
make_window, id=2003, wall0_id=3, wall1_id=3, position_x=2.930607795715332, position_y=-3.6388607025146484, position_z=0.6185919046401978, width=4.36, height=2.8000000000000003
make_window, id=2004, wall0_id=3, wall1_id=3, position_x=-1.9693922996520996, position_y=0.3111391067504883, position_z=0.8685919046401978, width=1.08, height=1.8800000000000001
make_window, id=2005, wall0_id=3, wall1_id=3, position_x=-1.2193922996520996, position_y=0.6611394882202148, position_z=0.918592095375061, width=1.2000000000000002, height=1.92
make_window, id=2006, wall0_id=6, wall1_id=6, position_x=-1.1693925857543945, position_y=-1.5388612747192383, position_z=0.9685920476913452, width=4.5200000000000005, height=2.2399999999999998
make_bbox, id=3000, class=chair, position_x=8.080608367919922, position_y=-8.638860702514648, position_z=-0.9814079999923706, angle_z=-0.74613, scale_x=0.75, scale_y=0.75, scale_z=1.0625
make_bbox, id=3001, class=chair, position_x=8.930606842041016, position_y=-7.938860893249512, position_z=-0.9814079999923706, angle_z=-0.74613, scale_x=0.46875, scale_y=0.5625, scale_z=1.03125
make_bbox, id=3002, class=sofa, position_x=6.8306074142456055, position_y=-7.838860988616943, position_z=-1.0814080238342285, angle_z=-0.74613, scale_x=2.0, scale_y=1.0625, scale_z=0.84375
make_bbox, id=3003, class=lamp, position_x=8.480607986450195, position_y=-7.088860988616943, position_z=-1.3314080238342285, angle_z=-2.31693, scale_x=0.59375, scale_y=0.59375, scale_z=0.3125
make_bbox, id=3004, class=chair, position_x=9.430606842041016, position_y=-6.888860702514648, position_z=-1.2814080715179443, angle_z=-2.31693, scale_x=0.75, scale_y=0.5625, scale_z=0.4375
make_bbox, id=3005, class=shelf, position_x=6.930607795715332, position_y=-6.738861083984375, position_z=-1.4314079284667969, angle_z=-0.74613, scale_x=0.625, scale_y=0.15625, scale_z=0.15625
make_bbox, id=3006, class=fan, position_x=8.830608367919922, position_y=-6.53886079788208, position_z=-1.3314080238342285, angle_z=-2.31693, scale_x=1.3125, scale_y=1.3125, scale_z=0.34375
make_bbox, id=3007, class=pillow, position_x=8.830608367919922, position_y=-6.188860893249512, position_z=-1.4314079284667969, angle_z=-0.74613, scale_x=0.46875, scale_y=0.5, scale_z=0.125
make_bbox, id=3008, class=bed, position_x=4.530607223510742, position_y=-5.638860702514648, position_z=-0.8814079761505127, angle_z=-0.74613, scale_x=1.6875, scale_y=2.125, scale_z=1.25
make_bbox, id=3009, class=sofa, position_x=12.280607223510742, position_y=-4.838860988616943, position_z=-1.0814080238342285, angle_z=-2.31693, scale_x=1.8125, scale_y=0.90625, scale_z=0.84375
make_bbox, id=3010, class=picture_frame, position_x=3.030607223510742, position_y=-4.338860988616943, position_z=2.568592071533203, angle_z=-0.74613, scale_x=0.90625, scale_y=0.03125, scale_z=0.59375
make_bbox, id=3011, class=picture_frame, position_x=4.180607795715332, position_y=-4.188860893249512, position_z=2.568592071533203, angle_z=-0.74613, scale_x=0.46875, scale_y=0.03125, scale_z=0.5625
make_bbox, id=3012, class=picture_frame, position_x=1.8806076049804688, position_y=-4.138860702514648, position_z=1.7185920476913452, angle_z=-0.74613, scale_x=0.90625, scale_y=0.03125, scale_z=0.625
make_bbox, id=3013, class=fan, position_x=6.180607795715332, position_y=-3.8388609886169434, position_z=-1.3314080238342285, angle_z=-2.31693, scale_x=1.3125, scale_y=1.3125, scale_z=0.34375
make_bbox, id=3014, class=picture_frame, position_x=1.8806076049804688, position_y=-3.738861083984375, position_z=1.8685919046401978, angle_z=-0.74613, scale_x=0.46875, scale_y=0.03125, scale_z=0.5625
make_bbox, id=3015, class=picture_frame, position_x=2.3306074142456055, position_y=-3.28886079788208, position_z=-0.9814079999923706, angle_z=-0.74613, scale_x=0.3125, scale_y=0.03125, scale_z=0.3125
make_bbox, id=3016, class=shelf, position_x=3.6306076049804688, position_y=-3.238861083984375, position_z=-1.4314079284667969, angle_z=-0.74613, scale_x=0.625, scale_y=0.15625, scale_z=0.15625
make_bbox, id=3017, class=picture_frame, position_x=1.3306074142456055, position_y=-3.238861083984375, position_z=1.668592095375061, angle_z=-0.74613, scale_x=0.375, scale_y=0.03125, scale_z=0.25
make_bbox, id=3018, class=bed, position_x=2.1306076049804688, position_y=-2.8388609886169434, position_z=-1.0314080715179443, angle_z=-0.74613, scale_x=1.53125, scale_y=1.625, scale_z=0.9375
