make_wall, id=0, a_x=0.0062503814697265625, a_y=-15.251089096069336, a_z=-1.5306810140609741, b_x=9.90625, b_y=-8.601089477539062, b_z=-1.5306810140609741, height=3.88, thickness=0.0
make_wall, id=1, a_x=0.0062503814697265625, a_y=-15.251089096069336, a_z=-1.5306810140609741, b_x=-11.643749237060547, b_y=-0.1010894775390625, b_z=-1.5306810140609741, height=3.88, thickness=0.0
make_wall, id=2, a_x=9.90625, a_y=-8.601089477539062, a_z=-1.5306810140609741, b_x=5.40625, b_y=-1.751089096069336, b_z=-1.5306810140609741, height=3.88, thickness=0.0
make_wall, id=3, a_x=2.55625057220459, a_y=-8.501089096069336, a_z=-1.5306810140609741, b_x=-1.1437492370605469, b_y=-2.2010889053344727, b_z=-1.5306810140609741, height=3.88, thickness=0.0
make_wall, id=4, a_x=2.55625057220459, a_y=-8.501089096069336, a_z=-1.5306810140609741, b_x=5.40625, b_y=-5.751089096069336, b_z=-1.5306810140609741, height=3.88, thickness=0.0
make_wall, id=5, a_x=-1.1437492370605469, a_y=-6.201088905334473, a_z=-1.5306810140609741, b_x=2.05625057220459, b_y=-4.051089286804199, b_z=-1.5306810140609741, height=3.88, thickness=0.0
make_wall, id=6, a_x=2.05625057220459, a_y=-4.051089286804199, a_z=-1.5306810140609741, b_x=-0.2937488555908203, b_y=-0.7510890960693359, b_z=-1.5306810140609741, height=3.88, thickness=0.0
make_wall, id=7, a_x=-3.5437488555908203, a_y=-3.1510887145996094, a_z=-1.5306810140609741, b_x=-3.393749237060547, b_y=-2.9510889053344727, b_z=-1.5306810140609741, height=3.88, thickness=0.0
make_wall, id=8, a_x=-3.5437488555908203, a_y=-3.1510887145996094, a_z=-1.5306810140609741, b_x=-8.843749046325684, b_y=4.098911285400391, b_z=-1.5306810140609741, height=3.88, thickness=0.0
make_wall, id=9, a_x=-3.393749237060547, a_y=-2.9510889053344727, a_z=-1.5306810140609741, b_x=-5.5437493324279785, b_y=0.29891109466552734, b_z=-1.5306810140609741, height=3.88, thickness=0.0
make_wall, id=10, a_x=5.306251525878906, a_y=-1.7010889053344727, a_z=-1.5306810140609741, b_x=8.40625, b_y=0.29891109466552734, b_z=-1.5306810140609741, height=3.88, thickness=0.0
make_wall, id=11, a_x=5.306251525878906, a_y=-1.7010889053344727, a_z=-1.5306810140609741, b_x=-0.9937496185302734, b_y=8.148910522460938, b_z=-1.5306810140609741, height=3.88, thickness=0.0
make_wall, id=12, a_x=-0.2937488555908203, a_y=-0.7510890960693359, a_z=-1.5306810140609741, b_x=-0.04374885559082031, b_y=-0.6510887145996094, b_z=-1.5306810140609741, height=3.88, thickness=0.0
make_wall, id=13, a_x=8.40625, a_y=0.29891109466552734, a_z=-1.5306810140609741, b_x=2.7562503814697266, b_y=7.6489105224609375, b_z=-1.5306810140609741, height=3.88, thickness=0.0
make_wall, id=14, a_x=-5.69374942779541, a_y=0.1489105224609375, a_z=-1.5306810140609741, b_x=-5.5437493324279785, b_y=0.29891109466552734, b_z=-1.5306810140609741, height=3.88, thickness=0.0
make_wall, id=15, a_x=-11.29374885559082, a_y=-0.1010894775390625, a_z=-1.5306810140609741, b_x=-8.843749046325684, b_y=4.098911285400391, b_z=-1.5306810140609741, height=3.88, thickness=0.0
make_wall, id=16, a_x=-2.3437490463256836, a_y=2.498910903930664, a_z=-1.5306810140609741, b_x=-2.393749237060547, b_y=2.6489105224609375, b_z=-1.5306810140609741, height=3.88, thickness=0.0
make_wall, id=17, a_x=-2.3437490463256836, a_y=2.498910903930664, a_z=-1.5306810140609741, b_x=-2.393749237060547, b_y=2.6489105224609375, b_z=-1.5306810140609741, height=3.88, thickness=0.0
make_wall, id=18, a_x=-2.393749237060547, a_y=2.6489105224609375, a_z=-1.5306810140609741, b_x=-4.7937493324279785, b_y=5.748910903930664, b_z=-1.5306810140609741, height=3.88, thickness=0.0
make_wall, id=19, a_x=-4.7937493324279785, a_y=5.748910903930664, a_z=-1.5306810140609741, b_x=2.7562503814697266, b_y=7.6489105224609375, b_z=-1.5306810140609741, height=3.88, thickness=0.0
make_door, id=1000, wall0_id=8, wall1_id=8, position_x=-8.54374885559082, position_y=3.1489105224609375, position_z=-0.4806809425354004, width=1.2800000000000002, height=2.0
make_door, id=1001, wall0_id=1, wall1_id=1, position_x=-3.44374942779541, position_y=-10.201088905334473, position_z=-0.4806809425354004, width=1.2400000000000002, height=2.08
make_door, id=1002, wall0_id=19, wall1_id=19, position_x=-4.0437493324279785, position_y=6.198911666870117, position_z=-0.4806809425354004, width=1.4000000000000001, height=2.08
make_window, id=2000, wall0_id=1, wall1_id=1, position_x=-4.243749141693115, position_y=-9.0510892868042, position_z=-0.4306809902191162, width=1.2400000000000002, height=2.08
make_window, id=2001, wall0_id=11, wall1_id=11, position_x=0.0062503814697265625, position_y=6.498910903930664, position_z=-0.030681133270263672, width=2.7600000000000002, height=2.7600000000000002
make_window, id=2002, wall0_id=1, wall1_id=1, position_x=-5.69374942779541, position_y=-6.8510894775390625, position_z=0.7193188667297363, width=2.92, height=1.8
make_window, id=2003, wall0_id=11, wall1_id=11, position_x=4.20625114440918, position_y=-0.05108928680419922, position_z=0.7193188667297363, width=2.9600000000000004, height=2.0
make_window, id=2004, wall0_id=1, wall1_id=1, position_x=-1.1937494277954102, position_y=-13.501089096069336, position_z=0.7693190574645996, width=2.92, height=2.2
