make_wall, id=0, a_x=6.180607795715332, a_y=-9.688860893249512, a_z=-1.5314079523086548, b_x=2.430607795715332, b_y=-6.488861083984375, b_z=-1.5314079523086548, height=3.88, thickness=0.0
make_wall, id=1, a_x=6.180607795715332, a_y=-9.688860893249512, a_z=-1.5314079523086548, b_x=13.780607223510742, b_y=-2.988861083984375, b_z=-1.5314079523086548, height=3.88, thickness=0.0
make_wall, id=2, a_x=2.430607795715332, a_y=-6.488861083984375, a_z=-1.5314079523086548, b_x=6.630607604980469, b_y=-1.5388612747192383, b_z=-1.5314079523086548, height=3.88, thickness=0.0
make_wall, id=3, a_x=12.030607223510742, a_y=-4.688860893249512, a_z=-1.5314079523086548, b_x=15.280607223510742, b_y=-1.3388605117797852, b_z=-1.5314079523086548, height=3.88, thickness=0.0
make_wall, id=4, a_x=12.030607223510742, a_y=-4.688860893249512, a_z=-1.5314079523086548, b_x=6.0806074142456055, b_y=1.0611391067504883, b_z=-1.5314079523086548, height=3.88, thickness=0.0
make_wall, id=5, a_x=15.280607223510742, a_y=-1.3388605117797852, a_z=-1.5314079523086548, b_x=9.180606842041016, b_y=4.661139488220215, b_z=-1.5314079523086548, height=3.88, thickness=0.0
make_wall, id=6, a_x=-2.319392204284668, a_y=-0.6388607025146484, a_z=-1.5314079523086548, b_x=-1.9193925857543945, b_y=-0.5888605117797852, b_z=-1.5314079523086548, height=3.88, thickness=0.0
make_wall, id=7, a_x=-2.319392204284668, a_y=-0.6388607025146484, a_z=-1.5314079523086548, b_x=-8.369392395019531, b_y=4.561139106750488, b_z=-1.5314079523086548, height=3.88, thickness=0.0
make_wall, id=8, a_x=-1.9193925857543945, a_y=-0.5888605117797852, a_z=-1.5314079523086548, b_x=-6.569392204284668, b_y=3.411139488220215, b_z=-1.5314079523086548, height=3.88, thickness=0.0
make_wall, id=9, a_x=6.0806074142456055, a_y=1.0611391067504883, a_z=-1.5314079523086548, b_x=9.180606842041016, b_y=4.661139488220215, b_z=-1.5314079523086548, height=3.88, thickness=0.0
make_wall, id=10, a_x=-8.369392395019531, a_y=4.561139106750488, a_z=-1.5314079523086548, b_x=-4.569392204284668, b_y=7.961138725280762, b_z=-1.5314079523086548, height=3.88, thickness=0.0
make_wall, id=11, a_x=-2.6693925857543945, a_y=4.261138916015625, a_z=-1.5314079523086548, b_x=-4.569392204284668, b_y=7.961138725280762, b_z=-1.5314079523086548, height=3.88, thickness=0.0
make_wall, id=12, a_x=-2.6693925857543945, a_y=4.261138916015625, a_z=-1.5314079523086548, b_x=1.930607795715332, b_y=9.061139106750488, b_z=-1.5314079523086548, height=3.88, thickness=0.0
make_wall, id=13, a_x=9.180606842041016, a_y=4.661139488220215, a_z=-1.5314079523086548, b_x=2.930607795715332, b_y=10.711138725280762, b_z=-1.5314079523086548, height=3.88, thickness=0.0
make_wall, id=14, a_x=3.430607795715332, a_y=10.111138343811035, a_z=-1.5314079523086548, b_x=6.930607795715332, b_y=12.411139488220215, b_z=-1.5314079523086548, height=3.88, thickness=0.0
make_wall, id=15, a_x=3.430607795715332, a_y=10.111138343811035, a_z=-1.5314079523086548, b_x=-2.6693925857543945, b_y=15.411139488220215, b_z=-1.5314079523086548, height=3.88, thickness=0.0
make_wall, id=16, a_x=6.930607795715332, a_y=12.411139488220215, a_z=-1.5314079523086548, b_x=2.930607795715332, b_y=15.811139106750488, b_z=-1.5314079523086548, height=3.88, thickness=0.0
make_wall, id=17, a_x=-2.6693925857543945, a_y=15.411139488220215, a_z=-1.5314079523086548, b_x=2.930607795715332, b_y=15.811139106750488, b_z=-1.5314079523086548, height=3.88, thickness=0.0
make_door, id=1000, wall0_id=12, wall1_id=12, position_x=-0.2193927764892578, position_y=5.261138916015625, position_z=-0.5314079523086548, width=1.16, height=1.92
make_door, id=1001, wall0_id=9, wall1_id=9, position_x=7.480607986450195, position_y=2.7111387252807617, position_z=-0.5314079523086548, width=1.04, height=1.92
make_door, id=1002, wall0_id=9, wall1_id=9, position_x=8.680606842041016, position_y=4.111139297485352, position_z=-0.5314079523086548, width=1.1199999999999999, height=1.92
make_door, id=1003, wall0_id=8, wall1_id=8, position_x=-1.8693923950195312, position_y=1.261138916015625, position_z=-0.4814079999923706, width=1.16, height=2.04
make_window, id=2000, wall0_id=14, wall1_id=14, position_x=5.930607795715332, position_y=12.161139488220215, position_z=0.1185920238494873, width=1.0, height=1.4800000000000002
make_window, id=2001, wall0_id=13, wall1_id=13, position_x=8.780607223510742, position_y=5.061139106750488, position_z=0.21859204769134521, width=1.1199999999999999, height=1.32
make_window, id=2002, wall0_id=17, wall1_id=17, position_x=-0.41939258575439453, position_y=14.911139488220215, position_z=0.36859190464019775, width=1.52, height=2.64
make_window, id=2003, wall0_id=0, wall1_id=0, position_x=5.380607604980469, position_y=-8.088860511779785, position_z=0.6185919046401978, width=1.1199999999999999, height=2.08
make_window, id=2004, wall0_id=14, wall1_id=14, position_x=3.780607223510742, position_y=10.861138343811035, position_z=0.7185920476913452, width=1.6, height=2.5600000000000005
make_window, id=2005, wall0_id=4, wall1_id=4, position_x=1.7806072235107422, position_y=2.3111391067504883, position_z=0.8185919523239136, width=4.2, height=1.8399999999999999
make_window, id=2006, wall0_id=14, wall1_id=14, position_x=3.6306076049804688, position_y=10.261139869689941, position_z=0.8185919523239136, width=1.4800000000000002, height=2.4000000000000004
make_window, id=2007, wall0_id=6, wall1_id=6, position_x=-0.41939258575439453, position_y=-1.238861083984375, position_z=0.8685919046401978, width=4.16, height=2.08
make_window, id=2008, wall0_id=2, wall1_id=2, position_x=2.0806074142456055, position_y=-1.1888608932495117, position_z=0.9685920476913452, width=1.32, height=2.04
make_bbox, id=3000, class=picture_frame, position_x=5.480607986450195, position_y=-8.738861083984375, position_z=-0.8814079761505127, angle_z=-0.74613, scale_x=0.625, scale_y=0.03125, scale_z=0.625
make_bbox, id=3001, class=chair, position_x=6.5806074142456055, position_y=-8.388860702514648, position_z=-1.0814080238342285, angle_z=-0.74613, scale_x=0.5, scale_y=0.5625, scale_z=0.84375
make_bbox, id=3002, class=chair, position_x=5.930607795715332, position_y=-8.288861274719238, position_z=-1.0814080238342285, angle_z=-2.31693, scale_x=0.65625, scale_y=0.6875, scale_z=0.875
make_bbox, id=3003, class=chair, position_x=6.230607986450195, position_y=-7.738861083984375, position_z=-1.1314079761505127, angle_z=-2.31693, scale_x=0.59375, scale_y=0.65625, scale_z=0.75
make_bbox, id=3004, class=table, position_x=8.230607986450195, position_y=-7.588860988616943, position_z=-1.2314079999923706, angle_z=-2.31693, scale_x=1.03125, scale_y=1.03125, scale_z=0.5
make_bbox, id=3005, class=lamp, position_x=8.230607986450195, position_y=-7.188860893249512, position_z=-1.3314080238342285, angle_z=-2.31693, scale_x=0.59375, scale_y=0.59375, scale_z=0.3125
make_bbox, id=3006, class=lamp, position_x=6.980607986450195, position_y=-6.938860893249512, position_z=-1.3314080238342285, angle_z=-2.31693, scale_x=0.375, scale_y=0.375, scale_z=0.34375
make_bbox, id=3007, class=lamp, position_x=7.230607986450195, position_y=-6.838860988616943, position_z=-1.4314079284667969, angle_z=-2.31693, scale_x=0.375, scale_y=0.375, scale_z=0.125
make_bbox, id=3008, class=chair, position_x=8.180606842041016, position_y=-6.738861083984375, position_z=-1.0314080715179443, angle_z=-0.74613, scale_x=0.5, scale_y=0.625, scale_z=0.90625
make_bbox, id=3009, class=chair, position_x=7.0806074142456055, position_y=-6.588860988616943, position_z=-1.0814080238342285, angle_z=-2.31693, scale_x=0.75, scale_y=0.78125, scale_z=0.84375
make_bbox, id=3010, class=chair, position_x=8.730607986450195, position_y=-6.53886079788208, position_z=-1.2814080715179443, angle_z=-0.74613, scale_x=0.84375, scale_y=0.625, scale_z=0.46875
make_bbox, id=3011, class=pillow, position_x=10.580608367919922, position_y=-6.438860893249512, position_z=-1.2814080715179443, angle_z=-0.74613, scale_x=0.4375, scale_y=0.15625, scale_z=0.4375
make_bbox, id=3012, class=chair, position_x=6.8306074142456055, position_y=-6.088860988616943, position_z=-1.0814080238342285, angle_z=-2.31693, scale_x=0.5625, scale_y=0.59375, scale_z=0.84375
make_bbox, id=3013, class=lamp, position_x=6.180607795715332, position_y=-5.838860988616943, position_z=-1.3314080238342285, angle_z=-2.31693, scale_x=0.375, scale_y=0.375, scale_z=0.34375
make_bbox, id=3014, class=chair, position_x=7.880607604980469, position_y=-5.53886079788208, position_z=-1.0814080238342285, angle_z=-0.74613, scale_x=0.625, scale_y=0.625, scale_z=0.8125
