make_wall, id=0, a_x=0.7789478302001953, a_y=-6.263859748840332, a_z=-1.4927159547805786, b_x=-4.621051788330078, b_y=-3.9138598442077637, b_z=-1.4927159547805786, height=3.9600000000000004, thickness=0.0
make_wall, id=1, a_x=0.7789478302001953, a_y=-6.263859748840332, a_z=-1.4927159547805786, b_x=4.328948020935059, b_y=3.3861398696899414, b_z=-1.4927159547805786, height=3.9600000000000004, thickness=0.0
make_wall, id=2, a_x=-4.621051788330078, a_y=-3.9138598442077637, a_z=-1.4927159547805786, b_x=-1.6210517883300781, b_y=1.736140251159668, b_z=-1.4927159547805786, height=3.9600000000000004, thickness=0.0
make_wall, id=3, a_x=-4.52105188369751, a_y=-3.8138599395751953, a_z=-1.4927159547805786, b_x=-8.121051788330078, b_y=-2.213860034942627, b_z=-1.4927159547805786, height=3.9600000000000004, thickness=0.0
make_wall, id=4, a_x=-4.52105188369751, a_y=-3.8138599395751953, a_z=-1.4927159547805786, b_x=-3.4710516929626465, b_y=-0.763859748840332, b_z=-1.4927159547805786, height=3.9600000000000004, thickness=0.0
make_wall, id=5, a_x=-8.121051788330078, a_y=-2.213860034942627, a_z=-1.4927159547805786, b_x=-7.02105188369751, b_y=0.5861396789550781, b_z=-1.4927159547805786, height=3.9600000000000004, thickness=0.0
make_wall, id=6, a_x=-3.4710516929626465, a_y=-0.763859748840332, a_z=-1.4927159547805786, b_x=-7.02105188369751, b_y=0.5861396789550781, b_z=-1.4927159547805786, height=3.9600000000000004, thickness=0.0
make_wall, id=7, a_x=-2.571051597595215, a_y=-0.763859748840332, a_z=-1.4927159547805786, b_x=-7.02105188369751, b_y=0.5861396789550781, b_z=-1.4927159547805786, height=3.9600000000000004, thickness=0.0
make_wall, id=8, a_x=-2.571051597595215, a_y=-0.763859748840332, a_z=-1.4927159547805786, b_x=-1.1710519790649414, b_y=3.8861398696899414, b_z=-1.4927159547805786, height=3.9600000000000004, thickness=0.0
make_wall, id=9, a_x=4.328948020935059, a_y=3.3861398696899414, a_z=-1.4927159547805786, b_x=-1.1710519790649414, b_y=3.8861398696899414, b_z=-1.4927159547805786, height=3.9600000000000004, thickness=0.0
make_door, id=1000, wall0_id=8, wall1_id=8, position_x=-1.8710517883300781, position_y=3.586139678955078, position_z=-0.5427160263061523, width=1.32, height=1.92
make_door, id=1001, wall0_id=7, wall1_id=7, position_x=-3.6710519790649414, position_y=-0.46386003494262695, position_z=-0.4927159547805786, width=1.04, height=2.0
make_door, id=1002, wall0_id=2, wall1_id=2, position_x=-3.2710518836975098, position_y=-1.213860034942627, position_z=-0.44271600246429443, width=1.0, height=2.04
make_window, id=2000, wall0_id=1, wall1_id=1, position_x=3.7289485931396484, position_y=2.586139678955078, position_z=-0.3427159786224365, width=1.08, height=1.6
make_window, id=2001, wall0_id=9, wall1_id=9, position_x=3.2289485931396484, position_y=3.7861404418945312, position_z=0.10728394985198975, width=1.08, height=2.84
make_window, id=2002, wall0_id=1, wall1_id=1, position_x=1.1789484024047852, position_y=-4.913859844207764, position_z=0.35728394985198975, width=1.52, height=3.0
make_window, id=2003, wall0_id=1, wall1_id=1, position_x=1.7289485931396484, position_y=-3.763859987258911, position_z=0.5572839975357056, width=2.4000000000000004, height=2.9600000000000004
make_window, id=2004, wall0_id=0, wall1_id=0, position_x=-3.5210518836975098, position_y=-4.063859939575195, position_z=1.4572840929031372, width=1.0, height=2.08
make_window, id=2005, wall0_id=9, wall1_id=9, position_x=-0.32105159759521484, position_y=2.986140251159668, position_z=1.5572839975357056, width=1.04, height=1.52
make_window, id=2006, wall0_id=3, wall1_id=3, position_x=-6.571051597595215, position_y=-2.6638598442077637, position_z=1.657283902168274, width=1.2400000000000002, height=1.56
make_bbox, id=3000, class=picture_frame, position_x=0.7289485931396484, position_y=-6.113860130310059, position_z=0.9572840929031372, angle_z=-1.9634999999999998, scale_x=0.3125, scale_y=0.03125, scale_z=0.3125
make_bbox, id=3001, class=picture_frame, position_x=0.22894859313964844, position_y=-5.963860034942627, position_z=1.907283902168274, angle_z=-0.3926999999999996, scale_x=0.3125, scale_y=0.03125, scale_z=0.3125
make_bbox, id=3002, class=picture_frame, position_x=0.3789482116699219, position_y=-5.913859844207764, position_z=1.5072840452194214, angle_z=-0.3926999999999996, scale_x=0.59375, scale_y=0.03125, scale_z=0.59375
make_bbox, id=3003, class=picture_frame, position_x=0.12894821166992188, position_y=-5.863860130310059, position_z=0.9072839021682739, angle_z=-0.3926999999999996, scale_x=0.3125, scale_y=0.03125, scale_z=0.3125
make_bbox, id=3004, class=picture_frame, position_x=-0.3710517883300781, position_y=-5.663859844207764, position_z=1.5072840452194214, angle_z=-0.3926999999999996, scale_x=1.15625, scale_y=0.03125, scale_z=0.75
make_bbox, id=3005, class=picture_frame, position_x=-0.5210518836975098, position_y=-5.563859939575195, position_z=2.8572840690612793, angle_z=-0.3926999999999996, scale_x=0.375, scale_y=0.0, scale_z=0.53125
make_bbox, id=3006, class=cabinet, position_x=-0.22105169296264648, position_y=-5.513859748840332, position_z=-0.3427159786224365, angle_z=-0.3926999999999996, scale_x=2.15625, scale_y=0.59375, scale_z=2.25
make_bbox, id=3007, class=lamp, position_x=0.8789482116699219, position_y=-5.413859844207764, position_z=-0.7427160143852234, angle_z=-1.9634999999999998, scale_x=0.375, scale_y=0.375, scale_z=1.46875
make_bbox, id=3008, class=picture_frame, position_x=-1.1210517883300781, position_y=-5.363860130310059, position_z=1.5072840452194214, angle_z=-0.3926999999999996, scale_x=0.625, scale_y=0.03125, scale_z=0.40625
make_bbox, id=3009, class=picture_frame, position_x=-1.1210517883300781, position_y=-5.313859939575195, position_z=2.6072840690612793, angle_z=-0.3926999999999996, scale_x=0.5, scale_y=0.03125, scale_z=0.5
make_bbox, id=3010, class=lamp, position_x=0.3289480209350586, position_y=-5.263859748840332, position_z=-1.2427160739898682, angle_z=-1.9634999999999998, scale_x=0.25, scale_y=0.25, scale_z=0.5
make_bbox, id=3011, class=lamp, position_x=-0.32105159759521484, position_y=-4.963860034942627, position_z=-1.1927160024642944, angle_z=-1.9634999999999998, scale_x=0.1875, scale_y=0.1875, scale_z=0.59375
make_bbox, id=3012, class=pillow, position_x=0.2789478302001953, position_y=-4.863860130310059, position_z=-1.3927159309387207, angle_z=-1.9634999999999998, scale_x=0.46875, scale_y=0.5, scale_z=0.125
make_bbox, id=3013, class=lamp, position_x=-1.1710519790649414, position_y=-4.763859748840332, position_z=-0.5927159786224365, angle_z=-1.9634999999999998, scale_x=0.4375, scale_y=0.28125, scale_z=1.8125
make_bbox, id=3014, class=lamp, position_x=-0.5710515975952148, position_y=-4.713860034942627, position_z=-1.2927160263061523, angle_z=-1.9634999999999998, scale_x=0.78125, scale_y=0.4375, scale_z=0.375
make_bbox, id=3015, class=picture_frame, position_x=-3.2210516929626465, position_y=-4.463860034942627, position_z=1.9572840929031372, angle_z=-0.3926999999999996, scale_x=0.375, scale_y=0.0, scale_z=0.53125
make_bbox, id=3016, class=lamp, position_x=-3.9710516929626465, position_y=-4.363860130310059, position_z=-1.2927160263061523, angle_z=-1.9634999999999998, scale_x=0.1875, scale_y=0.1875, scale_z=0.375
make_bbox, id=3017, class=pillow, position_x=-1.9210519790649414, position_y=-4.313859939575195, position_z=-1.3927159309387207, angle_z=-0.3926999999999996, scale_x=0.46875, scale_y=0.5, scale_z=0.125
