make_wall, id=0, a_x=7.030607223510742, a_y=-9.688860893249512, a_z=-1.5314079523086548, b_x=3.280607223510742, b_y=-6.388860702514648, b_z=-1.5314079523086548, height=3.9200000000000004, thickness=0.0
make_wall, id=1, a_x=7.030607223510742, a_y=-9.688860893249512, a_z=-1.5314079523086548, b_x=14.130607604980469, b_y=-2.8888607025146484, b_z=-1.5314079523086548, height=3.9200000000000004, thickness=0.0
make_wall, id=2, a_x=3.280607223510742, a_y=-6.388860702514648, a_z=-1.5314079523086548, b_x=7.530607223510742, b_y=-1.6888608932495117, b_z=-1.5314079523086548, height=3.9200000000000004, thickness=0.0
make_wall, id=3, a_x=4.3306074142456055, a_y=-5.888860702514648, a_z=-1.5314079523086548, b_x=4.630607604980469, b_y=-5.738861083984375, b_z=-1.5314079523086548, height=3.9200000000000004, thickness=0.0
make_wall, id=4, a_x=4.3306074142456055, a_y=-5.888860702514648, a_z=-1.5314079523086548, b_x=-4.9193925857543945, b_y=2.3611392974853516, b_z=-1.5314079523086548, height=3.9200000000000004, thickness=0.0
make_wall, id=5, a_x=4.630607604980469, a_y=-5.738861083984375, a_z=-1.5314079523086548, b_x=-0.9693922996520996, b_y=0.06113910675048828, b_z=-1.5314079523086548, height=3.9200000000000004, thickness=0.0
make_wall, id=6, a_x=14.130607604980469, a_y=-2.8888607025146484, a_z=-1.5314079523086548, b_x=7.730607986450195, b_y=3.3611392974853516, b_z=-1.5314079523086548, height=3.9200000000000004, thickness=0.0
make_wall, id=7, a_x=-0.9693922996520996, a_y=0.06113910675048828, a_z=-1.5314079523086548, b_x=1.3806076049804688, b_y=2.1111392974853516, b_z=-1.5314079523086548, height=3.9200000000000004, thickness=0.0
make_wall, id=8, a_x=1.3806076049804688, a_y=2.1111392974853516, a_z=-1.5314079523086548, b_x=-3.1693925857543945, b_y=6.011138916015625, b_z=-1.5314079523086548, height=3.9200000000000004, thickness=0.0
make_wall, id=9, a_x=-4.9193925857543945, a_y=2.3611392974853516, a_z=-1.5314079523086548, b_x=-3.1693925857543945, b_y=6.011138916015625, b_z=-1.5314079523086548, height=3.9200000000000004, thickness=0.0
make_wall, id=10, a_x=5.380607604980469, a_y=3.3611392974853516, a_z=-1.5314079523086548, b_x=7.730607986450195, b_y=5.761138916015625, b_z=-1.5314079523086548, height=3.9200000000000004, thickness=0.0
