make_wall, id=0, a_x=0.6789484024047852, a_y=-6.213860034942627, a_z=-1.4927159547805786, b_x=-4.621051788330078, b_y=-3.963860034942627, b_z=-1.4927159547805786, height=4.0, thickness=0.0
make_wall, id=1, a_x=0.6789484024047852, a_y=-6.213860034942627, a_z=-1.4927159547805786, b_x=4.478948593139648, b_y=4.386139869689941, b_z=-1.4927159547805786, height=4.0, thickness=0.0
make_wall, id=2, a_x=-4.621051788330078, a_y=-3.963860034942627, a_z=-1.4927159547805786, b_x=-2.2210516929626465, b_y=1.4361400604248047, b_z=-1.4927159547805786, height=4.0, thickness=0.0
make_wall, id=3, a_x=-4.821051597595215, a_y=-3.8638598918914795, a_z=-1.4927159547805786, b_x=-8.121051788330078, b_y=-2.463860034942627, b_z=-1.4927159547805786, height=4.0, thickness=0.0
make_wall, id=4, a_x=-4.821051597595215, a_y=-3.8638598918914795, a_z=-1.4927159547805786, b_x=-3.7210516929626465, b_y=-0.763859748840332, b_z=-1.4927159547805786, height=4.0, thickness=0.0
make_wall, id=5, a_x=-8.121051788330078, a_y=-2.463860034942627, a_z=-1.4927159547805786, b_x=-6.9710516929626465, b_y=0.48614025115966797, b_z=-1.4927159547805786, height=4.0, thickness=0.0
make_wall, id=6, a_x=-3.571051597595215, a_y=-0.763859748840332, a_z=-1.4927159547805786, b_x=-6.9710516929626465, b_y=0.48614025115966797, b_z=-1.4927159547805786, height=4.0, thickness=0.0
make_wall, id=7, a_x=4.478948593139648, a_y=4.386139869689941, a_z=-1.4927159547805786, b_x=-1.4710516929626465, b_y=7.836139678955078, b_z=-1.4927159547805786, height=4.0, thickness=0.0
make_wall, id=8, a_x=-1.4710516929626465, a_y=7.836139678955078, a_z=-1.4927159547805786, b_x=0.47894859313964844, b_y=12.636140823364258, b_z=-1.4927159547805786, height=4.0, thickness=0.0
make_wall, id=9, a_x=0.47894859313964844, a_y=12.636140823364258, a_z=-1.4927159547805786, b_x=0.47894859313964844, b_y=12.636140823364258, b_z=-1.4927159547805786, height=4.0, thickness=0.0
make_door, id=1000, wall0_id=4, wall1_id=4, position_x=-3.9710516929626465, position_y=-1.513859748840332, position_z=-0.4927159547805786, width=1.04, height=1.9600000000000002
make_door, id=1001, wall0_id=7, wall1_id=7, position_x=-0.3710517883300781, position_y=7.686140060424805, position_z=-0.4927159547805786, width=1.2400000000000002, height=2.0
make_door, id=1002, wall0_id=3, wall1_id=3, position_x=-6.371051788330078, position_y=-2.9138598442077637, position_z=-0.44271600246429443, width=1.16, height=2.04
make_window, id=2000, wall0_id=7, wall1_id=7, position_x=3.2789478302001953, position_y=5.336139678955078, position_z=0.2572840452194214, width=2.72, height=2.92
make_window, id=2001, wall0_id=0, wall1_id=0, position_x=-3.6710519790649414, position_y=-4.513859748840332, position_z=0.5572839975357056, width=1.08, height=2.92
make_window, id=2002, wall0_id=1, wall1_id=1, position_x=1.3789482116699219, position_y=-4.413859844207764, position_z=0.8072839975357056, width=2.4000000000000004, height=2.9600000000000004
make_window, id=2003, wall0_id=7, wall1_id=7, position_x=-0.4710516929626465, position_y=8.086139678955078, position_z=1.2072840929031372, width=2.68, height=2.44
make_window, id=2004, wall0_id=1, wall1_id=1, position_x=2.4789485931396484, position_y=-1.463860034942627, position_z=1.5572839975357056, width=1.04, height=2.0
make_bbox, id=3000, class=mirror, position_x=0.8289480209350586, position_y=-6.063859939575195, position_z=0.9572840929031372, angle_z=-1.9634999999999998, scale_x=0.40625, scale_y=0.03125, scale_z=0.5
make_bbox, id=3001, class=picture_frame, position_x=0.42894840240478516, position_y=-6.013859748840332, position_z=1.7072840929031372, angle_z=-0.3926999999999996, scale_x=0.3125, scale_y=0.03125, scale_z=0.3125
make_bbox, id=3002, class=picture_frame, position_x=0.22894859313964844, position_y=-5.863860130310059, position_z=1.4572840929031372, angle_z=-0.3926999999999996, scale_x=0.75, scale_y=0.03125, scale_z=0.75
make_bbox, id=3003, class=picture_frame, position_x=0.42894840240478516, position_y=-5.863860130310059, position_z=2.2072839736938477, angle_z=-0.3926999999999996, scale_x=0.46875, scale_y=0.03125, scale_z=0.46875
make_bbox, id=3004, class=picture_frame, position_x=-0.07105159759521484, position_y=-5.763859748840332, position_z=2.7072839736938477, angle_z=-0.3926999999999996, scale_x=0.90625, scale_y=0.03125, scale_z=0.59375
make_bbox, id=3005, class=picture_frame, position_x=0.12894821166992188, position_y=-5.763859748840332, position_z=0.9572840929031372, angle_z=-0.3926999999999996, scale_x=0.625, scale_y=0.03125, scale_z=0.625
make_bbox, id=3006, class=picture_frame, position_x=-0.6210517883300781, position_y=-5.563859939575195, position_z=-0.29271602630615234, angle_z=-0.3926999999999996, scale_x=0.59375, scale_y=0.03125, scale_z=0.40625
make_bbox, id=3007, class=picture_frame, position_x=-0.7710518836975098, position_y=-5.463860034942627, position_z=1.8572839498519897, angle_z=-0.3926999999999996, scale_x=0.625, scale_y=0.03125, scale_z=0.40625
make_bbox, id=3008, class=cabinet, position_x=-0.22105169296264648, position_y=-5.463860034942627, position_z=-0.3427159786224365, angle_z=-0.3926999999999996, scale_x=2.15625, scale_y=0.59375, scale_z=2.25
make_bbox, id=3009, class=picture_frame, position_x=-1.0210518836975098, position_y=-5.413859844207764, position_z=2.007284164428711, angle_z=-0.3926999999999996, scale_x=0.90625, scale_y=0.03125, scale_z=0.59375
make_bbox, id=3010, class=lamp, position_x=0.8289480209350586, position_y=-5.363860130310059, position_z=-0.7427160143852234, angle_z=-1.9634999999999998, scale_x=0.375, scale_y=0.375, scale_z=1.46875
make_bbox, id=3011, class=lamp, position_x=0.8289480209350586, position_y=-5.163859844207764, position_z=-1.3427159786224365, angle_z=-1.9634999999999998, scale_x=0.125, scale_y=0.125, scale_z=0.25
make_bbox, id=3012, class=lamp, position_x=-0.4210519790649414, position_y=-5.063859939575195, position_z=-1.1927160024642944, angle_z=-0.3926999999999996, scale_x=0.1875, scale_y=0.25, scale_z=0.59375
make_bbox, id=3013, class=pillow, position_x=0.47894859313964844, position_y=-4.963860034942627, position_z=-1.3427159786224365, angle_z=-1.9634999999999998, scale_x=0.59375, scale_y=0.15625, scale_z=0.3125
make_bbox, id=3014, class=lamp, position_x=-0.3710517883300781, position_y=-4.563859939575195, position_z=-0.7427160143852234, angle_z=-1.9634999999999998, scale_x=0.34375, scale_y=0.34375, scale_z=1.4375
make_bbox, id=3015, class=lamp, position_x=-3.871051788330078, position_y=-4.313859939575195, position_z=-1.2927160263061523, angle_z=-1.9634999999999998, scale_x=0.1875, scale_y=0.1875, scale_z=0.375
make_bbox, id=3016, class=picture_frame, position_x=-4.77105188369751, position_y=-3.9138598442077637, position_z=2.557283878326416, angle_z=-0.3926999999999996, scale_x=0.5, scale_y=0.03125, scale_z=0.5
make_bbox, id=3017, class=picture_frame, position_x=-4.821051597595215, position_y=-3.763859987258911, position_z=-0.14271605014801025, angle_z=-0.3926999999999996, scale_x=0.46875, scale_y=0.03125, scale_z=0.5625
make_bbox, id=3018, class=picture_frame, position_x=-4.821051597595215, position_y=-3.763859987258911, position_z=-0.7927160263061523, angle_z=-0.3926999999999996, scale_x=0.3125, scale_y=0.03125, scale_z=0.3125
make_bbox, id=3019, class=picture_frame, position_x=-5.02105188369751, position_y=-3.763859987258911, position_z=-0.39271605014801025, angle_z=-0.3926999999999996, scale_x=0.46875, scale_y=0.03125, scale_z=0.5625
make_bbox, id=3020, class=picture_frame, position_x=-4.7210516929626465, position_y=-3.763859987258911, position_z=1.0572839975357056, angle_z=-0.3926999999999996, scale_x=0.4375, scale_y=0.03125, scale_z=0.5625
